Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
11,"16, 110, 113, 219, 228, 231, 235, 306, 332, 510, 515",1,00526A029 03471
15,"16, 110, 116, 144, 155, 205, 210, 215, 220, 234, 301, 302, 306, 331, 510",1,01820B009 14182
11,"16, 110, 116, 155, 205, 210, 220, 306, 330, 510, 515",1,00925A009 11927
15,"16, 110, 116, 144, 155, 205, 210, 215, 220, 234, 301, 306, 310, 331, 510",1,01823A009 23368
13,"16, 110, 116, 144, 155, 205, 210, 215, 234, 306, 311, 331, 510",1,01582 164 00624
13,"16, 110, 116, 144, 155, 205, 210, 234, 301, 306, 310, 331, 510",1,01823B009 23433
14,"16, 110, 116, 144, 155, 205, 215, 220, 234, 301, 306, 311, 331, 510",1,00576 271Y00265
14,"16, 110, 116, 144, 155, 205, 215, 220, 234, 302, 306, 311, 331, 510",1,01113 009 17835
14,"16, 110, 116, 155, 205, 210, 215, 219, 306, 310, 330, 331, 510, 515",1,02321 211 01386
11,"16, 110, 116, 155, 205, 210, 215, 234, 306, 331, 510",1,01820A009 14140
11,"16, 110, 116, 155, 205, 210, 220, 306, 311, 330, 515",1,00924A009 11817
11,"16, 105, 205, 215, 234, 306, 310, 330, 331, 510, 515",1,22519030AS02609
7,"16, 105, 205, 215, 234, 302, 331",1,09012 001 30388
10,"16, 104, 155, 215, 300, 306, 310, 330, 331, 515",1,07088A002 01213
6,"16, 104, 215, 306, 331, 510",1,22539 D63 00005
6,"16, 104, 205, 215, 306, 330",1,17425 162 01153
7,"16, 104, 205, 215, 310, 330, 510",1,07797A001 27736
11,"16, 104, 210, 215, 220, 226, 306, 310, 330, 510, 515",1,10813A130 01045
10,"16, 104, 210, 215, 220, 306, 310, 330, 510, 515",1,39C538508400056
9,"16, 104, 210, 215, 234, 300, 310, 331, 521",1,20020 063 00037
9,"16, 104, 210, 215, 234, 306, 310, 331, 510",1,01917A140 04078
7,"16, 104, 210, 215, 300, 301, 331",1,20129 000 01280
9,"16, 104, 210, 215, 301, 310, 330, 510, 515",1,25B136000000000
8,"16, 104, 210, 306, 311, 331, 510, 515",1,01428A212 01182
10,"16, 104, 215, 225, 234, 300, 310, 331, 515, 521",1,18628 009 24482
10,"16, 104, 215, 225, 234, 301, 310, 331, 510, 515",1,20724 009 31698
9,"16, 104, 215, 225, 234, 301, 310, 331, 521",1,19106 001 08652
9,"16, 104, 215, 225, 306, 310, 330, 510, 515",1,01707A102 03675
8,"16, 104, 215, 225, 306, 310, 331, 510",1,18440 150 01841
8,"16, 104, 215, 225, 310, 330, 510, 515",1,11C04 396 02989
10,"16, 104, 215, 226, 234, 306, 310, 330, 510, 515",1,39C528507000560
9,"16, 104, 215, 300, 306, 310, 330, 515, 521",1,18066 272 01304
8,"16, 104, 215, 300, 306, 311, 330, 515",1,16523 160 00063
8,"16, 104, 215, 301, 306, 310, 331, 521",1,20103 222 01444
8,"16, 104, 205, 215, 303, 311, 330, 515",1,18016 162 00890
7,"16, 104, 205, 215, 301, 331, 510",1,21459 000 00072
10,"16, 104, 205, 215, 300, 306, 310, 330, 510, 515",1,016321000000027
11,"16, 104, 205, 215, 233, 234, 300, 303, 310, 311, 331",1,19667 081 00105
8,"16, 104, 155, 215, 302, 306, 310, 331",1,18989 009 31553
7,"16, 104, 155, 215, 302, 314, 331",1,13514B002C00672
10,"16, 104, 161, 205, 215, 234, 310, 331, 515, 521",1,09600 01WC12352
9,"16, 104, 161, 205, 215, 302, 310, 331, 515",1,09600C227C00022
12,"16, 104, 161, 210, 215, 225, 303, 306, 310, 330, 331, 515",1,09906 009 12016
11,"16, 104, 204, 215, 220, 234, 306, 310, 330, 510, 515",1,11C20 004700485
12,"16, 104, 205, 215, 220, 225, 226, 234, 306, 310, 330, 510",1,39C631622001152
10,"16, 104, 205, 215, 220, 234, 300, 310, 331, 521",1,20022 001 03609
10,"16, 104, 205, 215, 234, 300, 310, 330, 331, 515",1,16522 160 00085
9,"16, 104, 205, 215, 300, 302, 310, 330, 331",1,01143D009 35798
10,"16, 104, 205, 215, 234, 300, 314, 330, 515, 521",1,16844 025Y00067
9,"16, 104, 205, 215, 234, 300, 314, 331, 521",1,18869 712 00381
8,"16, 104, 205, 215, 234, 300, 315, 331",1,19663 000 00016
10,"16, 104, 205, 215, 234, 301, 306, 310, 331, 510",1,07024A000 00135
10,"16, 104, 205, 215, 234, 302, 306, 310, 333, 510",1,08696A000 00000
9,"16, 104, 205, 215, 234, 302, 306, 311, 330",1,09703 064 00869
10,"16, 104, 205, 215, 234, 303, 310, 330, 331, 515",1,17983 778 00666
9,"16, 104, 205, 215, 234, 306, 330, 331, 515",1,16967 001 25152
7,"16, 104, 215, 306, 310, 330, 510",1,22686 000 00014
6,"16, 104, 215, 306, 331, 521",1,18141 038 01817
10,"16, 105, 205, 215, 234, 302, 311, 331, 510, 515",1,09671 141 00271
6,"16, 104, 215, 310, 330, 510",1,33C03A205000005
8,"16, 105, 205, 215, 220, 234, 306, 331",1,03145A102 05768
9,"16, 105, 205, 215, 220, 234, 306, 331, 510",1,00937A157 00225
9,"16, 105, 205, 215, 220, 234, 330, 510, 515",1,12061A80701 003
8,"16, 105, 205, 215, 220, 306, 311, 331",1,39C515502001163
10,"16, 105, 205, 215, 225, 234, 301, 306, 331, 510",1,09727 064C01036
8,"16, 105, 205, 215, 225, 234, 330, 515",1,08196 001 29883
9,"16, 105, 205, 215, 234, 300, 314, 331, 510",1,16812M072 00655
10,"16, 105, 205, 215, 234, 301, 306, 310, 331, 510",1,07729A001 29048
11,"16, 105, 205, 215, 234, 301, 306, 311, 330, 510, 515",1,08718 009 33694
9,"16, 105, 205, 215, 234, 301, 306, 311, 331",1,09159 061C00078
11,"16, 105, 205, 215, 234, 301, 306, 330, 331, 510, 515",1,16385 000000000
10,"16, 105, 205, 215, 234, 301, 306, 330, 331, 515",1,07044A002 01143
8,"16, 105, 205, 215, 234, 301, 306, 331",1,09738A064 00382
8,"16, 105, 205, 215, 234, 301, 310, 331",1,09672 143 00920
7,"16, 105, 205, 215, 234, 301, 331",1,09738 064 00382
10,"16, 105, 205, 215, 234, 302, 306, 311, 331, 510",1,09157 061C00100
10,"16, 105, 205, 215, 234, 302, 306, 311, 331, 521",1,09155 061 00088
11,"16, 105, 205, 215, 234, 302, 311, 330, 331, 510, 515",1,09091A009 36261
11,"16, 105, 205, 215, 234, 302, 311, 330, 331, 515, 521",1,08388 222 01336
10,"16, 105, 205, 215, 220, 225, 234, 306, 331, 510",1,01330A016 03022
9,"16, 105, 205, 210, 215, 234, 306, 310, 330",1,16143 144C00302
10,"16, 105, 205, 210, 215, 234, 302, 310, 330, 515",1,23872144AW00299
11,"16, 105, 110, 205, 215, 220, 302, 311, 330, 331, 510",1,05018A390 00043
10,"16, 104, 219, 225, 231, 306, 310, 330, 510, 515",1,39C459439300009
6,"16, 104, 219, 225, 310, 331",1,21933 000000003
12,"16, 105, 110, 155, 205, 215, 220, 234, 302, 311, 331, 510",1,19C494 20A  200
10,"16, 105, 110, 155, 205, 215, 234, 311, 330, 515",1,08201 001 29646
12,"16, 105, 110, 205, 210, 215, 234, 301, 306, 310, 331, 510",1,08335N001 05410
11,"16, 105, 110, 205, 210, 215, 234, 301, 310, 331, 510",1,08335S001 05410
11,"16, 105, 110, 205, 215, 220, 234, 306, 310, 331, 510",1,08719 009 33910
12,"16, 105, 110, 205, 215, 220, 234, 306, 311, 330, 331, 510",1,08063 039 03364
13,"16, 105, 110, 205, 215, 225, 234, 302, 306, 311, 331, 510, 515",1,00441A01W 03504
13,"16, 105, 205, 210, 215, 234, 302, 306, 310, 330, 510, 515, 521",1,23875144AR00249
12,"16, 105, 110, 205, 215, 234, 301, 302, 311, 331, 510, 515",1,08375 001 04946
11,"16, 105, 110, 205, 215, 234, 306, 311, 330, 331, 515",1,08194 003 00009
11,"16, 105, 110, 205, 215, 234, 306, 311, 331, 515, 521",1,01492A241 01407
11,"16, 105, 110, 205, 215, 301, 306, 311, 331, 510, 515",1,08681 001 02121
13,"16, 105, 110, 205, 225, 234, 301, 306, 311, 330, 331, 510, 515",1,08842 035 02337
10,"16, 105, 155, 205, 215, 234, 301, 310, 331, 510",1,09702 064 00951
11,"16, 105, 155, 205, 215, 234, 301, 311, 330, 515, 521",1,06671 002 02809
10,"16, 105, 205, 210, 215, 234, 302, 306, 310, 330",1,16134 144C00248
8,"16, 110, 144, 155, 205, 215, 234, 331",1,01089 009F13003
12,"16, 110, 144, 205, 210, 215, 220, 235, 306, 330, 510, 515",1,02202 009 07753
7,"16, 110, 155, 202, 330, 510, 515",1,25B07 000 00230
8,"16, 110, 205, 306, 330, 331, 510, 515",1,03994A018 03076
10,"16, 110, 205, 216, 220, 228, 235, 306, 331, 510",1,03080 009 02248
10,"16, 110, 205, 216, 220, 228, 235, 306, 332, 510",1,04167 027 00162
9,"16, 110, 205, 216, 220, 231, 306, 331, 510",1,00931 033 02171
8,"16, 110, 205, 216, 220, 306, 331, 510",1,04287 211 02425
10,"16, 110, 205, 219, 228, 231, 306, 330, 510, 515",1,06662 01W 06438
9,"16, 110, 205, 220, 225, 231, 306, 331, 510",1,00565 058 01210
8,"16, 110, 205, 220, 234, 301, 331, 510",1,08376 001 04907
9,"16, 110, 205, 220, 234, 306, 330, 510, 515",1,02492 073 04967
7,"16, 110, 205, 220, 234, 306, 510",1,04589A191 01011
7,"16, 110, 205, 220, 234, 331, 510",1,12951 831 00156
7,"16, 110, 205, 220, 306, 331, 510",1,07881 857 00037
9,"16, 110, 205, 225, 228, 231, 306, 331, 510",1,00564 058 01199
8,"16, 110, 205, 225, 234, 331, 510, 515",1,14380A062 01602
4,"16, 110, 205, 234",1,09231 418 00003
8,"16, 110, 205, 234, 301, 306, 331, 510",1,07740C001 18263
6,"16, 110, 205, 234, 301, 331",1,07738D001 18304
10,"16, 110, 205, 234, 304, 306, 311, 330, 510, 515",1,00636 000 00011
7,"16, 110, 205, 234, 306, 331, 521",1,01697 045 02828
8,"16, 110, 205, 234, 330, 331, 510, 515",1,04143A009 12519
13,"16, 110, 205, 216, 219, 220, 228, 231, 235, 306, 330, 510, 515",1,10193 191 01667
7,"16, 110, 205, 215, 330, 510, 515",1,19C467   1  326
8,"16, 110, 205, 215, 306, 330, 510, 515",1,02676A037 03761
6,"16, 110, 205, 215, 234, 306",1,25T11 000 00193
9,"16, 110, 205, 215, 234, 301, 306, 310, 331",1,R7025B002C00202
12,"16, 110, 205, 215, 234, 301, 306, 311, 331, 510, 515, 521",1,08749 063 02379
10,"16, 110, 205, 215, 234, 301, 310, 330, 510, 515",1,06056 368 00020
10,"16, 110, 205, 215, 234, 301, 311, 330, 331, 515",1,06683D01WX00044
9,"16, 110, 205, 215, 234, 301, 311, 331, 521",1,08470R002C02210
9,"16, 110, 205, 215, 234, 301, 331, 510, 521",1,08338 001 05750
10,"16, 110, 205, 215, 234, 302, 311, 330, 510, 515",1,07397 292 00022
10,"16, 110, 205, 215, 234, 304, 311, 331, 510, 515",1,07206 01WX00100
8,"16, 110, 205, 215, 234, 306, 311, 331",1,R2163A002 00659
8,"16, 110, 205, 215, 306, 311, 334, 510",1,07164 01E 01386
10,"16, 110, 205, 215, 234, 306, 311, 331, 510, 515",1,49C18 073000000
9,"16, 110, 205, 215, 234, 306, 330, 331, 510",1,08402 123 01041
10,"16, 110, 205, 215, 234, 306, 330, 331, 515, 521",1,08118 001 24213
8,"16, 110, 205, 215, 234, 306, 330, 515",1,08033 037 04909
9,"16, 110, 205, 215, 234, 306, 330, 515, 521",1,07832 001 17475
9,"16, 110, 205, 215, 234, 311, 330, 331, 515",1,06683C01WX00042
5,"16, 110, 205, 215, 306",1,01175 009 16646
7,"16, 110, 205, 215, 306, 311, 331",1,06208A640 00000
7,"16, 110, 205, 234, 330, 510, 515",1,02333 047 06338
7,"16, 110, 205, 330, 331, 510, 515",1,08002 774 00209
14,"16, 110, 155, 205, 215, 220, 225, 228, 234, 302, 306, 311, 331, 510",1,00744B029 01431
7,"16, 110, 206, 216, 330, 510, 515",1,03853 020 02223
6,"16, 110, 215, 220, 331, 510",1,23C611061 00580
9,"16, 110, 215, 225, 228, 234, 330, 510, 515",1,06318 000   002
8,"16, 110, 215, 225, 228, 234, 331, 510",1,12126A53302 866
10,"16, 110, 215, 225, 231, 306, 330, 331, 510, 515",1,07720 009 31302
9,"16, 110, 215, 225, 234, 306, 330, 510, 515",1,07534 033 00536
6,"16, 110, 215, 225, 331, 510",1,19C470   1  670
5,"16, 110, 215, 227, 234",1,22570 002 04124
8,"16, 110, 215, 228, 231, 235, 330, 515",1,06113 000
9,"16, 110, 215, 228, 234, 306, 330, 510, 515",1,53C009085200225
8,"16, 110, 215, 228, 234, 306, 331, 510",1,05511A632
7,"16, 110, 215, 228, 234, 306, 332",1,18746 00000 003
10,"16, 110, 215, 228, 235, 306, 310, 330, 510, 515",1,16861 073 05683
8,"16, 110, 215, 228, 235, 306, 331, 510",1,05140A008 00000
9,"16, 110, 215, 234, 301, 306, 310, 331, 510",1,08550 040 00662
7,"16, 110, 215, 234, 306, 331, 510",1,08549 040 00647
6,"16, 110, 215, 306, 332, 510",1,47B004000000000
6,"16, 110, 215, 310, 330, 510",1,33C28 220000410
6,"16, 110, 215, 311, 331, 510",1,01409 B52200272
5,"16, 110, 215, 330, 510",1,00871A01W 07148
8,"16, 110, 215, 220, 310, 330, 510, 515",1,06215 000
6,"16, 110, 215, 220, 306, 510",1,47C101083700080
9,"16, 110, 215, 220, 306, 330, 331, 510, 515",1,01271A025 01432
8,"16, 110, 210, 215, 306, 311, 331, 510",1,26T04 000 00000
14,"16, 110, 210, 215, 219, 220, 225, 231, 306, 310, 311, 330, 510, 515",1,43C09 000 00000
10,"16, 110, 210, 215, 220, 225, 235, 330, 510, 515",1,22C08 036700319
8,"16, 110, 210, 215, 220, 306, 311, 510",1,00728A229 03839
9,"16, 110, 210, 215, 220, 306, 312, 331, 510",1,470218
7,"16, 110, 210, 215, 220, 331, 510",1,00813 509 00174
9,"16, 110, 210, 215, 235, 306, 330, 510, 515",1,0M007 429 00227
10,"16, 110, 210, 215, 301, 306, 330, 331, 510, 515",1,07025 000000019
8,"16, 110, 210, 215, 305, 311, 331, 510",1,57C60 700 00060
8,"16, 110, 210, 215, 306, 330, 331, 521",1,06821A073 00002
10,"16, 110, 215, 220, 306, 311, 313, 331, 510, 515",1,07883 691 00777
7,"16, 110, 210, 215, 313, 331, 510",1,02769 041 00304
6,"16, 110, 210, 215, 331, 510",1,07028A000000032
6,"16, 110, 210, 220, 330, 515",1,14451 000 00002
4,"16, 110, 210, 331",1,21C14 611 00800
5,"16, 110, 210, 331, 510",1,11951A072900331
9,"16, 110, 215, 217, 220, 310, 330, 510, 515",1,29C133634 00414
8,"16, 110, 215, 220, 306, 310, 331, 510",1,02403 063 01439
10,"16, 110, 215, 220, 306, 311, 313, 330, 510, 515",1,07108A125 02193
8,"16, 110, 205, 215, 228, 306, 331, 510",1,07715 02W 06082
9,"16, 110, 205, 215, 228, 234, 306, 331, 510",1,07569A001 16206
14,"16, 110, 205, 215, 228, 234, 301, 306, 310, 311, 330, 331, 510, 515",1,03173A035 00534
9,"16, 110, 205, 215, 226, 234, 306, 331, 510",1,01494A009 18478
9,"16, 110, 155, 205, 306, 330, 331, 510, 515",1,07722 02W 05529
6,"16, 110, 155, 205, 306, 331",1,07738C001F18318
7,"16, 110, 155, 205, 330, 510, 515",1,05269 171 04996
8,"16, 110, 155, 210, 215, 330, 510, 515",1,06757C609300000
8,"16, 110, 155, 215, 220, 306, 331, 510",1,671275000900750
11,"16, 110, 155, 215, 225, 228, 231, 306, 331, 510, 515",1,04059 200 03793
7,"16, 110, 155, 215, 310, 331, 510",1,25B38 000 00056
11,"16, 110, 202, 205, 215, 225, 234, 306, 330, 510, 515",1,07321 01W 08261
10,"16, 110, 202, 205, 215, 231, 234, 306, 331, 521",1,07524B001 24938
8,"16, 110, 202, 215, 228, 234, 331, 510",1,12111A410021236
11,"16, 110, 202, 216, 220, 225, 228, 235, 306, 331, 510",1,05113A012 00000
9,"16, 110, 202, 216, 220, 228, 235, 331, 510",1,47C12 035 00000
11,"16, 110, 202, 216, 228, 231, 235, 306, 331, 510, 515",1,06023 027 00678
11,"16, 110, 202, 216, 228, 235, 306, 330, 331, 510, 515",1,02387A009 31315
10,"16, 110, 202, 216, 231, 235, 306, 330, 510, 515",1,08848A431 02965
9,"16, 110, 202, 216, 231, 306, 331, 510, 515",1,06686C01WX00550
11,"16, 110, 202, 219, 220, 228, 231, 306, 310, 332, 510",1,12954 083400166
8,"16, 110, 202, 219, 231, 331, 510, 515",1,03965 015F01159
3,"16, 110, 205",1,61C39 141 00030
8,"16, 110, 155, 205, 234, 311, 331, 510",1,069C05000006641
8,"16, 110, 155, 205, 234, 301, 331, 510",1,07740B001 18263
7,"16, 110, 155, 205, 215, 306, 331",1,671280001000450
8,"16, 110, 155, 205, 215, 220, 331, 510",1,01433A622000637
11,"16, 110, 155, 205, 215, 220, 234, 302, 306, 331, 510",1,003080000000000
13,"16, 110, 155, 205, 215, 220, 234, 306, 310, 330, 331, 510, 515",1,01324A015 02652
11,"16, 110, 155, 205, 215, 220, 234, 306, 330, 510, 515",1,01415 102 05714
9,"16, 110, 155, 205, 215, 220, 234, 306, 331",1,01403 229 01055
10,"16, 110, 155, 205, 215, 220, 234, 306, 331, 510",1,07567B001 15603
9,"16, 110, 155, 205, 215, 220, 234, 331, 510",1,470249
10,"16, 110, 155, 205, 215, 220, 306, 311, 331, 510",1,59C054131100041
8,"16, 110, 155, 205, 215, 220, 311, 331",1,07892A411 00068
9,"16, 110, 155, 205, 215, 225, 306, 331, 510",1,07787 009 30779
9,"16, 110, 155, 205, 215, 306, 330, 510, 515",1,51C02 000 00001
10,"16, 110, 155, 205, 215, 234, 301, 311, 330, 515",1,02367 047 05573
10,"16, 110, 155, 205, 215, 234, 301, 311, 331, 510",1,25B06 000 00062
11,"16, 110, 155, 205, 215, 234, 306, 330, 331, 510, 515",1,07642 236 00783
10,"16, 110, 155, 205, 215, 234, 306, 330, 510, 515",1,02447 058 00242
9,"16, 110, 155, 205, 215, 301, 306, 331, 510",1,01602 009 20272
11,"16, 110, 155, 205, 215, 306, 311, 313, 330, 510, 515",1,03462 233 01032
10,"16, 110, 155, 205, 215, 306, 311, 330, 510, 515",1,03460 233 00096
10,"16, 110, 155, 205, 215, 306, 311, 331, 515, 521",1,08249 001F20906
10,"16, 110, 205, 210, 215, 220, 225, 306, 331, 510",1,00559B035 05317
10,"16, 110, 205, 210, 215, 220, 234, 306, 331, 510",1,07950 001 10831
11,"16, 110, 205, 210, 215, 225, 234, 306, 330, 515, 521",1,03060A042 00140
9,"16, 110, 205, 215, 225, 228, 306, 331, 510",1,07779 037 05146
10,"16, 110, 205, 215, 220, 234, 306, 330, 331, 515",1,25T10 108500000
9,"16, 110, 205, 215, 220, 234, 306, 330, 515",1,08752 006 00120
7,"16, 110, 205, 215, 220, 234, 331",1,14868A270000876
11,"16, 110, 205, 215, 220, 301, 306, 311, 330, 510, 515",1,00613C226 01575
10,"16, 110, 205, 215, 220, 306, 311, 330, 510, 515",1,03459 233 00058
8,"16, 110, 205, 215, 220, 306, 330, 515",1,08939 062 03240
9,"16, 110, 205, 215, 220, 306, 330, 515, 521",1,00614A226 01379
8,"16, 110, 205, 215, 220, 311, 331, 510",1,07895 240001497
10,"16, 110, 205, 215, 225, 234, 302, 311, 331, 510",1,07036 002C00132
12,"16, 110, 205, 215, 220, 234, 301, 310, 311, 313, 331, 510",1,15C010063500040
11,"16, 110, 205, 215, 225, 234, 306, 311, 330, 510, 515",1,00580 01E 01787
11,"16, 110, 205, 215, 225, 234, 306, 330, 331, 515, 521",1,03212A035 02672
9,"16, 110, 205, 215, 225, 234, 306, 330, 510",1,08815 262 00050
10,"16, 110, 205, 215, 225, 234, 306, 331, 510, 515",1,01259 027 05453
8,"16, 110, 205, 215, 225, 234, 330, 515",1,08817 008 00054
8,"16, 110, 205, 215, 225, 234, 331, 510",1,14379A062 01579
9,"16, 110, 205, 215, 225, 234, 331, 510, 515",1,14378A062 01561
7,"16, 110, 205, 215, 225, 306, 331",1,03172A035 00414
11,"16, 110, 205, 215, 220, 234, 306, 330, 331, 510, 515",1,00682A022 01462
11,"16, 110, 205, 215, 220, 234, 301, 306, 311, 331, 510",1,470604072 00557
11,"16, 110, 205, 210, 215, 234, 301, 311, 330, 331, 515",1,43C30 000100612
11,"16, 110, 205, 215, 220, 225, 234, 306, 311, 330, 515",1,05194R026 00002
10,"16, 110, 205, 210, 215, 234, 306, 330, 510, 515",1,01430A009 16015
8,"16, 110, 205, 210, 215, 234, 331, 510",1,33C08 390000657
9,"16, 110, 205, 210, 216, 235, 306, 332, 510",1,03086 046 00146
8,"16, 110, 205, 210, 220, 234, 330, 515",1,15C24 635 00090
8,"16, 110, 205, 210, 220, 330, 510, 515",1,12053 80702 326
10,"16, 110, 205, 210, 234, 306, 311, 331, 510, 515",1,45C120057000041
7,"16, 110, 205, 210, 234, 306, 331",1,07640A001 15079
13,"16, 110, 205, 215, 220, 225, 234, 302, 306, 310, 311, 331, 510",1,07019 01W 08421
9,"16, 110, 205, 215, 220, 225, 234, 330, 515",1,07747 8T2 00027
10,"16, 110, 205, 215, 220, 234, 301, 306, 310, 331",1,06299 015 00048
9,"16, 110, 205, 215, 220, 225, 234, 331, 510",1,07896 240001190
11,"16, 110, 205, 215, 220, 225, 301, 306, 331, 510, 521",1,00587C035 06761
9,"16, 110, 205, 215, 220, 225, 306, 330, 510",1,07677 037 04234
9,"16, 110, 205, 215, 220, 225, 306, 330, 515",1,08607 003 00005
11,"16, 110, 205, 215, 220, 228, 234, 306, 311, 331, 510",1,01305 009 01972
11,"16, 110, 205, 215, 220, 228, 234, 306, 330, 510, 515",1,01075A033 04888
9,"16, 110, 205, 215, 220, 228, 234, 306, 510",1,07226 009 02953
13,"16, 110, 205, 215, 220, 234, 301, 306, 310, 311, 330, 331, 510",1,02279A234 01710
8,"16, 104, 155, 215, 300, 306, 310, 331",1,20004 009 17440
8,"16, 104, 155, 215, 300, 301, 315, 331",1,21307 069 00060
9,"12, 109, 205, 215, 234, 306, 310, 510, 521",1,07292A006 28584
16,"12, 110, 113, 120, 152, 155, 162, 205, 215, 234, 302, 311, 313, 331, 510, 515",1,00966 004 04587
7,"12, 109, 215, 306, 310, 333, 510",1,43B010000000000
6,"12, 109, 215, 306, 310, 510",1,16010 000 00320
6,"12, 109, 215, 306, 312, 331",1,22248 002 08683
6,"12, 109, 215, 306, 315, 331",1,22210 000 00000
7,"12, 109, 215, 306, 330, 331, 515",1,19889 041 01797
6,"12, 109, 215, 306, 330, 521",1,00694A036 00673
7,"12, 109, 215, 306, 331, 510, 521",1,07293B006 28619
6,"12, 109, 215, 306, 331, 515",1,21629 026 00160
8,"12, 109, 215, 310, 312, 330, 510, 515",1,18173 004 13824
7,"12, 109, 215, 310, 330, 331, 515",1,19769 004 24398
6,"12, 109, 215, 310, 330, 510",1,01C03 A09 00062
7,"12, 109, 215, 310, 330, 510, 515",1,00971B004 09213
7,"12, 109, 215, 311, 313, 331, 510",1,09168 005 00056
7,"12, 109, 215, 312, 314, 330, 515",1,16349 015300000
6,"12, 109, 215, 330, 331, 515",1,20798 002 07010
5,"12, 109, 215, 330, 521",1,03556A028 11362
5,"12, 109, 215, 331, 510",1,29C197781 00249
10,"12, 109, 226, 234, 301, 302, 310, 311, 331, 515",1,07949B009 00028
9,"12, 109, 226, 234, 306, 310, 330, 510, 515",1,16519 411207171
7,"12, 109, 215, 306, 310, 330, 510",1,09410 D05 00026
7,"12, 109, 215, 306, 310, 330, 331",1,14782A220200010
6,"12, 109, 215, 306, 310, 330",1,21345 026 06588
7,"12, 109, 215, 301, 310, 331, 510",1,22356 000 00050
9,"12, 109, 215, 301, 302, 310, 331, 510, 521",1,08501 001 05806
8,"12, 109, 215, 301, 306, 310, 330, 515",1,18396 000000000
9,"12, 109, 215, 301, 306, 310, 331, 510, 521",1,19111 000 00000
8,"12, 109, 215, 301, 306, 310, 331, 521",1,19108 001 02721
7,"12, 109, 215, 301, 306, 312, 331",1,20359 018 03709
7,"12, 109, 215, 301, 306, 330, 515",1,19019 015 03130
7,"12, 109, 215, 301, 310, 330, 510",1,09994 533 00120
9,"12, 109, 215, 301, 310, 330, 510, 515, 521",1,16019 022 04409
7,"12, 109, 215, 301, 310, 331, 521",1,20571 001C12922
7,"12, 109, 215, 302, 310, 331, 510",1,19974 907000231
7,"12, 109, 215, 301, 312, 330, 515",1,22004 039 05640
6,"12, 109, 215, 301, 330, 515",1,19086 009 16994
6,"12, 109, 215, 301, 331, 521",1,20378 006 37218
7,"12, 109, 215, 302, 306, 310, 330",1,16136 026 05758
9,"12, 109, 215, 302, 306, 310, 330, 331, 521",1,09942 069 00683
8,"12, 109, 215, 302, 306, 310, 330, 515",1,18178 171 04148
8,"12, 109, 215, 302, 306, 310, 331, 521",1,20326 041 03399
6,"12, 109, 215, 302, 306, 331",1,19913 310 00020
20,"12, 110, 113, 116, 120, 152, 155, 162, 205, 210, 215, 220, 234, 301, 302, 303, 311, 313, 510, 515",1,05054 026 00077
13,"12, 110, 113, 120, 152, 155, 205, 215, 302, 311, 313, 330, 515",1,02557 024 00283
8,"12, 109, 215, 300, 314, 331, 515, 521",1,18047 033 02520
14,"12, 110, 113, 120, 152, 162, 205, 215, 234, 306, 311, 313, 330, 515",1,08989 171 03915
5,"12, 110, 205, 332, 510",1,25B35 000
8,"12, 110, 206, 216, 235, 330, 510, 515",1,671201119700470
10,"12, 110, 210, 215, 220, 301, 311, 330, 510, 515",1,39C627617800029
6,"12, 110, 215, 306, 310, 331",1,20317 000 01061
